rank,name,slug,active_installs,rating_pct,rating_5star,num_ratings,editor_support,last_updated,requires_wp,tested_up_to,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
950,BlueSnap Payment Gateway for WooCommerce,bluesnap-payment-gateway-for-woocommerce,100,46,2.3,3,Editor-agnostic,2026-03-18 3:15pm GMT,6.6,6.9.4,https://bluesnap.com/,,,https://wordpress.org/plugins/bluesnap-payment-gateway-for-woocommerce/,0,0,,,,,"apple pay, bluesnap, gateway, payment, woocommerce"
951,Portfolio Gallery Master,portfolio-gallery-master,100,20,1.0,1,Editor-agnostic,2018-10-16 11:41pm GMT,,4.9.29,https://icanwp.com/plugins/portfolio-gallery-master/,,,https://wordpress.org/plugins/portfolio-gallery-master/,0,0,,,,,"direction aware portfolio gallery, gallery, portfolio, portfolio gallery, portfolio plugin"
952,QuadMenu – GeneratePress Mega Menu,quadmenu-generatepress,100,40,2.0,6,Editor-agnostic,2021-03-15 12:03pm GMT,4.8,5.7.0,https://quadmenu.com/generatepress/,,,https://wordpress.org/plugins/quadmenu-generatepress/,0,0,,,,,"generatepress, generatepress megamenu, generatepress menu, quadmenu"
953,Import Users & Customers | Export Users with Excel for WordPress & WooCommerce,users-import-export-with-excel-for-wp,100,60,3.0,2,Editor-agnostic,2024-11-25 7:10am GMT,3.0.1,6.7.5,,,,https://wordpress.org/plugins/users-import-export-with-excel-for-wp/,0,0,,,,,"customers import, export excel, user export, user import, users import"
954,View All Post's Pages,view-all-posts-pages,100,60,3.0,2,Editor-agnostic,2026-01-19 9:59pm GMT,3.2.1,6.9.4,http://www.oomphinc.com/plugins-modules/view-all-posts-pages/,,,https://wordpress.org/plugins/view-all-posts-pages/,1,0,3.5,Low,2023-07-10,CWE-79,"Multipage, paged, paged post, pages, view all"
955,Ship Per Product,ship-per-product,100,60,3.0,2,Editor-agnostic,2022-07-23 8:23am GMT,3.4,6.0.0,http://cedcommerce.com,,,https://wordpress.org/plugins/ship-per-product/,1,1,5.3,Medium,2025-04-01,CWE-862,"Per Product Shipping, Ship Per Product, ship, shipping, woocommerce shipping"
956,Remove WordFence 2FA,remove-wordfence-2fa,100,60,3.0,2,Editor-agnostic,2020-10-10 9:56am GMT,5.2,5.5.18,,,,https://wordpress.org/plugins/remove-wordfence-2fa/,0,0,,,,,"2FA, remove, wordfence"
957,Deklaracja dostepnosci WCAG 2.1,deklaracja-dostepnosci-wcag,100,40,2.0,4,Editor-agnostic,2020-10-27 7:50pm GMT,3.5,5.4.19,http://deklaracjadostepnosci.eu/,,,https://wordpress.org/plugins/deklaracja-dostepnosci-wcag/,0,0,,,,,"deklaracja dostępności, polska, polski, ustawa, wcag"
958,PAYGENT for WooCommerce,woocommerce-for-paygent-payment-main,100,20,1.0,3,Editor-agnostic,2026-02-04 9:49pm GMT,5.0,6.9.0,https://wordpress.org/plugins/woocommerce-for-paygent-payment-main/,,,https://wordpress.org/plugins/woocommerce-for-paygent-payment-main/,1,0,5.3,Medium,2026-01-17,CWE-862,"japan, payment gateway, woocommerce"
959,Bobs Custom Login,bobs-custom-login,100,20,1.0,1,Editor-agnostic,2016-06-04 6:38pm GMT,4.0,4.5.33,http://www.travis.ga,,,https://wordpress.org/plugins/bobs-custom-login/,0,0,,,,,"admin, brand login, branded login, custom login, custom login color"
960,Edit Howdy,edit-howdy,100,60,3.0,3,Editor-agnostic,2014-12-14 8:34pm GMT,3.0,3.3.2,http://wordpress.org/extend/plugins/edit-howdy/,,,https://wordpress.org/plugins/edit-howdy/,0,0,,,,,"admin screen, edit howdy, howdy, profile, remove howdy"
961,JM Breaking News,jm-breaking-news,100,54,2.7,3,Editor-agnostic,2023-01-15 9:06pm GMT,5.9,6.1.10,http://www.jacobmartella.com/jm-breaking-news/,,,https://wordpress.org/plugins/jm-breaking-news/,0,0,,,,,"Breaking News, banner"
962,Wp QrCode,wp-qrcode,100,20,1.0,2,Editor-agnostic,2023-08-05 4:07pm GMT,3.6,6.2.9,https://piikashowapk.com/,,,https://wordpress.org/plugins/wp-qrcode/,0,0,,,,,"QR Code Wordpress Plugin, WP QR Code, qr code, qr code generator, qr code widget"
963,Frequently Searched Words,wp-frequently-searched-words,100,20,1.0,1,Editor-agnostic,2021-02-14 6:17am GMT,4.7.2,5.6.17,https://github.com/miiitaka/wp-frequently-searched-words,https://github.com/miiitaka/wp-frequently-searched-words,official,https://wordpress.org/plugins/wp-frequently-searched-words/,0,0,,,,,"search, shortcode"
964,Frequently Searched Words,wp-frequently-searched-words,100,20,1.0,1,Editor-agnostic,2021-02-14 6:17am GMT,4.7.2,5.6.17,https://github.com/miiitaka/wp-frequently-searched-words,https://github.com/miiitaka/wp-frequently-searched-words,official,https://wordpress.org/plugins/wp-frequently-searched-words/,0,0,,,,,"search, shortcode"
965,WPML comment merging,wpml-comment-merging,100,50,2.5,2,Editor-agnostic,2011-02-07 3:41pm GMT,2.7,3.0.5,http://wordpress.org/extend/plugins/wpml-comment-merging/,,,https://wordpress.org/plugins/wpml-comment-merging/,0,0,,,,,"comments, i18n, multilingual, translation, wpml"
966,Grupo Logistico Andreani,grupo-logistico-andreani,100,20,1.0,3,Editor-agnostic,2025-05-15 2:15pm GMT,5.0,6.7.5,https://wordpress.org/plugins/grupo-logistico-andreani,,,https://wordpress.org/plugins/grupo-logistico-andreani/,0,0,,,,,"andreani, grupo logistico andreani, rates, shipping, woocommerce"
967,AJAX Comments,ajax-comments,100,20,1.0,1,Editor-agnostic,2007-11-12 11:29pm GMT,2.0.3,2.3.1,http://ajax-comments.dev.rain.hu/,,,https://wordpress.org/plugins/ajax-comments/,0,0,,,,,"ajax, comments, security"
968,Advanced Custom Fields Page Builder,acf-page-builder,100,60,3.0,2,Editor-agnostic,2016-10-02 12:10pm GMT,3.8,4.6.30,https://wordpress.org/plugins/acf-page-builder/,https://github.com/owenr88/acf-page-builder,official,https://wordpress.org/plugins/acf-page-builder/,0,0,,,,,"advanced custom fields, build pages, custom fields, page builder"
969,Query Filter,query-filter,100,20,1.0,1,Editor-agnostic,2015-07-25 11:37am GMT,3.0.0,4.3.34,http://niewiarowski.it/,https://github.com/marsjaninzmarsa/WordPress-J-QueryFilter,official,https://wordpress.org/plugins/query-filter/,0,0,,,,,"advanced, filter, query, search, wp query"
970,Perfect Tense – Spelling and Grammar Checker,perfect-tense,100,20,1.0,1,Editor-agnostic,2018-07-11 5:51pm GMT,3.0.1,4.9.29,,,,https://wordpress.org/plugins/perfect-tense/,0,0,,,,,"grammar, proofreading, seo, spell check, spelling"
971,Smart WP Login,smart-wp-login,100,60,3.0,4,Editor-agnostic,2015-06-19 7:19am GMT,,,,https://github.com/balfourinc/smart-wp-login,official,https://wordpress.org/plugins/smart-wp-login/,0,0,,,,,"login using email, registration using email, retrieve password using email"
972,Contact Form 7 Response Message Popup,contact-form-7-response-message-popup,100,54,2.7,3,Editor-agnostic,2015-07-09 1:12am GMT,4.0,4.2.39,http://prince.im/contact-form-7-response-message-popup/,,,https://wordpress.org/plugins/contact-form-7-response-message-popup/,0,0,,,,,"contact form, contact form 7, contact form 7 response message popup, email, form"
973,WP Hide Category,wp-hide-category,100,52,2.6,7,Editor-agnostic,2014-06-27 11:52am GMT,3.0,3.7.41,http://www.arefly.com/wordpress-index-hide-category/,,,https://wordpress.org/plugins/wp-hide-category/,0,0,,,,,"category, hide"
974,Add Meta Tag For WordPress,add-meta-tag-for-wordpress,100,60,3.0,2,Editor-agnostic,2017-11-17 5:41am GMT,3.0.1,4.9.29,,,,https://wordpress.org/plugins/add-meta-tag-for-wordpress/,0,0,,,,,"keywords, meta, meta tags, metadata, tags"
975,Includer,includer,100,20,1.0,1,Editor-agnostic,2016-12-20 2:47am GMT,4.0,4.7.33,,,,https://wordpress.org/plugins/includer/,0,0,,,,,"callrail, clickcease, clicky, google analytics"
976,Migrate Import Export WooCommerce Store with Excel,store-migration-products-orders-import-export-with-excel,100,60,3.0,2,Editor-agnostic,2025-10-13 5:24pm GMT,3.0.1,6.8.5,,,,https://wordpress.org/plugins/store-migration-products-orders-import-export-with-excel/,0,0,,,,,"excel, import orders, migrate, order export, product export"
977,Theme Switcher Reloaded,theme-switcher-reloaded,100,46,2.3,3,Editor-agnostic,2014-10-20 10:20pm GMT,2.9.2,4.0.38,http://themebot.com,,,https://wordpress.org/plugins/theme-switcher-reloaded/,1,1,,,,,"changer, presentation, preview, preview theme, selector"
978,Email Checker for Contact Form 7,email-checker-for-contact-form-7,100,60,3.0,2,Editor-agnostic,2025-08-26 4:16am GMT,4.6,6.8.5,https://wordpress.org/plugins/email-checker-for-cf7/,,,https://wordpress.org/plugins/email-checker-for-contact-form-7/,0,0,,,,,"contact form 7, email checker, email checker for contact form 7, email validator, emails checker"
979,Related Posts Widget,related-posts-widget,100,20,1.0,1,Editor-agnostic,2015-12-16 5:19pm GMT,3.0,4.4.34,https://wordpress.org/plugins/related-posts-widget/,https://github.com/mkrdip/related-posts-widget,official,https://wordpress.org/plugins/related-posts-widget/,0,0,,,,,"Related Posts Widget, related posts, similar posts widget"
