rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,requires_wp,tested_up_to,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
216,Social Chat – Click To Chat App Button,wp-whatsapp-chat,200000,98,4.9,Editor-agnostic,2026-03-25 1:40pm GMT,4.7,6.9.4,https://quadlayers.com/products/whatsapp-chat/,https://github.com/estratos/wp-whatsapp-chat,official,https://wordpress.org/plugins/wp-whatsapp-chat/,1,0,,,2022-08-22,CWE-79,"click to chat, whatsapp, whatsapp business, whatsapp chat, woocommerce whatsapp"
217,Activity Log – Monitor & Record User Changes,aryo-activity-log,200000,86,4.3,Editor-agnostic,2024-11-12 2:55pm GMT,6.0,6.7.5,https://activitylog.io/?utm_source=wp-plugins&utm_campaign=plugin-uri&utm_medium=wp-dash,https://github.com/pojome/activity-log,official,https://wordpress.org/plugins/aryo-activity-log/,18,0,,,2024-11-21,,"Activity Log, audit log, email log, security, user log"
218,Force Regenerate Thumbnails,force-regenerate-thumbnails,200000,94,4.7,Editor-agnostic,2026-02-17 3:52pm GMT,6.6,6.9.4,https://wordpress.org/plugins/force-regenerate-thumbnails/,https://github.com/nosilver4u/force-regenerate-thumbnails,official,https://wordpress.org/plugins/force-regenerate-thumbnails/,0,0,,,,,"force, regenerate thumbnails, thumbnail, thumbnails"
219,ReCaptcha v2 for Contact Form 7,wpcf7-recaptcha,200000,100,5.0,Editor-agnostic,2025-04-15 10:52pm GMT,4.9,6.7.5,,https://github.com/IQComputing/wpcf7-recaptcha,official,https://wordpress.org/plugins/wpcf7-recaptcha/,0,0,,,,,"contact form 7, contact-form-7-recaptcha, recaptcha, spam"
220,Instant Indexing for Google,fast-indexing-api,200000,72,3.6,Editor-agnostic,2025-11-21 9:24am GMT,5.6,6.6.5,https://rankmath.com/wordpress/plugin/instant-indexing/,https://github.com/rankmath/fast-indexing-api,official,https://wordpress.org/plugins/fast-indexing-api/,0,0,,,,,"crawling, fast indexing, indexing api, job posting, live streaming"
221,Post Duplicator,post-duplicator,200000,96,4.8,Editor-agnostic,2026-03-21 2:54pm GMT,6.6,6.9.4,https://www.metaphorcreations.com/post-duplicator/,https://github.com/meta4creations/post-duplicator,official,https://wordpress.org/plugins/post-duplicator/,8,0,,,2025-01-24,,"duplicate, duplication, post, posts"
222,All 404 Redirect to Homepage,all-404-redirect-to-homepage,200000,82,4.1,Editor-agnostic,2026-01-10 6:23pm GMT,4.5,6.9.4,https://www.wp-buy.com,https://github.com/common-repository/all-404-redirect-to-homepage,mirror,https://wordpress.org/plugins/all-404-redirect-to-homepage/,6,0,,,2021-06-01,,"404 error, broken images, redirection, seo redirect"
223,GenerateBlocks,generateblocks,200000,98,4.9,Block-only,2025-12-09 6:47pm GMT,6.5,6.9.4,https://generateblocks.com,,,https://wordpress.org/plugins/generateblocks/,5,0,6.5,Medium,2025-12-13,CWE-200; CWE-285; CWE-79; CWE-863,"blocks, editor, gutenberg, page builder, posts"
224,Advanced Google reCAPTCHA,advanced-google-recaptcha,200000,96,4.8,Editor-agnostic,2026-03-19 8:16am GMT,4.9,6.9.4,https://getwpcaptcha.com/,https://github.com/common-repository/advanced-google-recaptcha,mirror,https://wordpress.org/plugins/advanced-google-recaptcha/,3,0,,,2025-03-28,,"captcha, comment reCAPTCHA, google recaptcha, login recaptcha, recaptcha"
225,Favicon by RealFaviconGenerator,favicon-by-realfavicongenerator,200000,98,4.9,Editor-agnostic,2026-03-02 4:20pm GMT,3.5,7.0,http://realfavicongenerator.net/extensions/wordpress,https://github.com/wp-plugins/favicon-by-realfavicongenerator,mirror,https://wordpress.org/plugins/favicon-by-realfavicongenerator/,7,0,,,2024-04-15,,"apple touch icon, favicon, icon, iphone, logo"
226,CMP – Coming Soon & Maintenance Plugin by NiteoThemes,cmp-coming-soon-maintenance,200000,94,4.7,Editor-agnostic,2025-12-02 7:54pm GMT,3.0,6.7.5,https://wordpress.org/plugins/cmp-coming-soon-maintenance/,https://github.com/WordpressPluginDirectory/cmp-coming-soon-maintenance,official,https://wordpress.org/plugins/cmp-coming-soon-maintenance/,13,0,,,2025-04-04,,"coming soon, coming soon page, launch page, maintenance mode, under construction"
227,Black Studio TinyMCE Widget,black-studio-tinymce-widget,200000,96,4.8,Editor-agnostic,2026-03-08 8:09pm GMT,3.1,6.9.4,https://wordpress.org/plugins/black-studio-tinymce-widget/,https://github.com/black-studio/black-studio-tinymce-widget,official,https://wordpress.org/plugins/black-studio-tinymce-widget/,0,0,,,,,"editor, tinyMCE, visual, widget, wysiwyg"
228,White Label CMS,white-label-cms,200000,94,4.7,Editor-agnostic,2025-05-01 6:37am GMT,3.3,6.8.5,https://www.videousermanuals.com/white-label-cms/?utm_campaign=wlcms&utm_medium=plugin&utm_source=readme-txt,https://github.com/wp-plugins/white-label-cms,mirror,https://wordpress.org/plugins/white-label-cms/,9,0,,,2024-08-18,,"admin, branding, cms, custom, dashboard"
229,CartFlows – Funnel Builder & Checkout Plugin for WooCommerce,cartflows,200000,96,4.8,Editor-agnostic,2026-03-25 12:40pm GMT,5.8,6.9.4,https://cartflows.com/,,,https://wordpress.org/plugins/cartflows/,13,1,,,2026-02-19,,"lead generation, order bump, sales funnels, upsell, woocommerce"
230,Admin and Site Enhancements (ASE),admin-site-enhancements,200000,100,5.0,Editor-agnostic,2026-03-23 12:22am GMT,4.6,6.9.4,https://www.wpase.com/plugin-uri,https://github.com/wahyuief/admin-site-enhancements,official,https://wordpress.org/plugins/admin-site-enhancements/,9,2,,,2026-03-13,,"enhancements, optimizations, tools, tweaks"
231,"Jetpack Boost – Website Speed, Performance and Critical CSS",jetpack-boost,200000,94,4.7,Editor-agnostic,2026-03-19 2:52pm GMT,6.8,6.9.4,https://jetpack.com/boost,https://github.com/Automattic/jetpack,official,https://wordpress.org/plugins/jetpack-boost/,2,0,,,2025-05-16,,"Critical CSS, cache, performance, speed, web vitals"
232,Imsanity,imsanity,200000,98,4.9,Editor-agnostic,2026-02-10 5:08pm GMT,6.6,6.9.4,https://wordpress.org/plugins/imsanity/,https://github.com/nosilver4u/imsanity,official,https://wordpress.org/plugins/imsanity/,0,0,,,,,"image, quality, resize, scale, space saver"
233,TikTok,tiktok-for-business,200000,36,1.8,Editor-agnostic,2026-03-24 5:07pm GMT,5.7.0,6.7.5,https://wordpress.org/plugins/tiktok-for-business,https://github.com/WordpressPluginDirectory/tiktok-for-business,official,https://wordpress.org/plugins/tiktok-for-business/,0,0,,,,,Tiktok
234,Call Now Button – The #1 Click to Call Button for WordPress,call-now-button,200000,96,4.8,Editor-agnostic,2026-03-20 8:47pm GMT,6.1,6.9.4,https://callnowbutton.com,https://github.com/wp-plugins/call-now-button,mirror,https://wordpress.org/plugins/call-now-button/,5,0,4.3,Medium,2025-10-29,CWE-352; CWE-79; CWE-862,"call button, call now button, click to call, contact button, convert"
235,WP Migrate Lite – Migration Made Easy,wp-migrate-db,200000,86,4.3,Editor-agnostic,2025-12-08 4:39pm GMT,5.2,6.9.4,https://deliciousbrains.com/,https://github.com/bradt/wp-migrate-db,official,https://wordpress.org/plugins/wp-migrate-db/,1,0,5.8,Medium,2025-11-18,CWE-918,"clone, export site, import site, migrate, push pull"
236,Use Any Font | Custom Font Uploader,use-any-font,200000,94,4.7,Editor-agnostic,2025-12-20 4:17am GMT,4.0,6.9.4,https://dineshkarki.com.np/use-any-font,https://github.com/WordpressPluginDirectory/use-any-font,official,https://wordpress.org/plugins/use-any-font/,4,0,,,2024-09-25,,"Font Manager, custom fonts, font uploader, google fonts, typography"
237,"Variation Swatches for WooCommerce – Color, Image & Size Swatches",variation-swatches-woo,200000,92,4.6,Editor-agnostic,2026-03-10 6:02am GMT,5.4,6.8.5,,https://github.com/WordpressPluginDirectory/variation-swatches-woo,official,https://wordpress.org/plugins/variation-swatches-woo/,0,0,,,,,"variation swatches, variation swatches for woocommerce, woocommerce attribute swatches, woocommerce color swatches, woocommerce variation swatches"
238,Cloudflare,cloudflare,200000,70,3.5,Editor-agnostic,2025-12-22 4:44pm GMT,5.0,6.9.0,https://blog.cloudflare.com/new-wordpress-plugin/,https://github.com/cloudflare/Cloudflare-WordPress,official,https://wordpress.org/plugins/cloudflare/,6,0,,,2024-01-29,,"cloudflare, ddos, seo, speed, ssl"
